created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Fri Feb 03 11:16:32 +0000 2023,1621467670024699905,Teume! Aku mau bikin thread walpaper treasure total ada 12 member kalo mau drop usn @ nya yaa ^^ https://t.co/nVfMW46zKV,26,1383,140,2110,in,1271439514460753920,1621467670024699905,treasuremenfess,https://twitter.com/treasuremenfess/status/1621467670024699905,
Fri Feb 03 10:47:56 +0000 2023,1621460473907671040,[yg_treasure_tiktok] 230203  junghwan: super king cow baby who plays alone 🐮👶🏻  🖇️ https://t.co/Lr6tBz9zr6  #TREASURE #트레저 #トレジャー  @treasuremembers https://t.co/PXOMCGeg9J,117,0,558,3420,in,1469253385312370690,1621460473907671040,trsrupdates,https://twitter.com/trsrupdates/status/1621460473907671040,treasuremembers
Fri Feb 03 10:34:16 +0000 2023,1621457032967778304,[yg_treasure_tiktok] 230203  yoshi: if there are 2 yoshi..?? 🐯🐯  🖇️ https://t.co/NRVaI3Dctu  #TREASURE #트레저 #トレジャー  @treasuremembers https://t.co/csEsZWoHZq,91,0,535,3266,in,1469253385312370690,1621457032967778304,trsrupdates,https://twitter.com/trsrupdates/status/1621457032967778304,treasuremembers
Fri Feb 03 04:04:09 +0000 2023,1621358857825177601,"Malaysia 🇲🇾 TEUME, TREASURE is here!!!  📅11.3.2023 (SAT)(6:00PM) 🏟Malawati Indoor Stadium, Shah Alam 🎟RM998, RM898, RM798, RM598, RM498, RM398 via https://t.co/dQdNXWl7dx by @imemalaysia  #트레저 #TREASUREINKL #TREASUREINMY  https://t.co/lqBr7MbUS9",106,4,347,1296,in,166853059,1621358857825177601,MyKpopHuntress,https://twitter.com/MyKpopHuntress/status/1621358857825177601,imemalaysia
Thu Feb 02 13:31:16 +0000 2023,1621139188119912453,[yg_treasure_tiktok] 230202  I just wanna rock 👽🆒 dc: CHOIHYUNSUK 🤘  🖇️ https://t.co/1YHOymlq2r  #TREASURE #트레저 #トレジャー  @treasuremembers https://t.co/JM6vLHBq5U,25,1,227,957,in,1469253385312370690,1621139188119912453,trsrupdates,https://twitter.com/trsrupdates/status/1621139188119912453,treasuremembers
Thu Feb 02 03:04:06 +0000 2023,1620981358431444992,💎90’s TEUME PROJECT💎  TEU-HA! Menyambut #TREASURE Hello Asia Tour kami membuat event ‘Dari 90’s TEUME untuk TEUME’ dan membuka PO untuk TOUR FANKIT yang profitnya akan digunakan untuk pendanaan upcoming project seperti event dan comeback @treasuremembers   #TREASURE_HELLOinJKT https://t.co/9EqeukXmGn,85,41,424,687,in,188217108,1620981358431444992,officialmeditia,https://twitter.com/officialmeditia/status/1620981358431444992,treasuremembers
Wed Feb 01 14:48:32 +0000 2023,1620796244275650563,@treasuremenfess Sender mnding u lgsng daftar jdi tim creative treasure,0,2,16,1577,in,1288332223435821056,1620784483786973185,prrmenkrret,https://twitter.com/prrmenkrret/status/1620796244275650563,treasuremenfess
Wed Feb 01 14:02:20 +0000 2023,1620784618793504769,@treasuremenfess ASTAGA [nangis] SENENG.. Nanti rasa cookiesnya mint 🫂,5,8,9,961,in,1465914652399915015,1620784483786973185,fairys_treasure,https://twitter.com/fairys_treasure/status/1620784618793504769,treasuremenfess
Tue Jan 31 16:53:23 +0000 2023,1620465276398743552,"-c- Berkat kakak kakak treasure aku bisa hidup.... aku sayang kamu ( tulisan di foto op Park jihoon nikah yuk"")  🐶: Kalo nikah mah ga mungkin maaf ya!  @treasuremembers https://t.co/eKA4tSmoQC""",275,72,100,894,in,1376469852479574020,1620465269553643521,teuverse_id,https://twitter.com/teuverse_id/status/1620465276398743552,treasuremembers
Tue Jan 31 16:53:21 +0000 2023,1620465269553643521,"[TRANS] 🐶 310123  OP: Kak, aku tadinya sedih dan depresi banget, banyak hal berat sampe akhirnya aku pergi ke konser,  abis ketemu treasure aku bisa jadi bahagia banget. Makasih banget. Makasih udah buat aku bahagia.   -c-  @treasuremembers https://t.co/PQ4Lh45yDg",29,43,90,1278,in,1376469852479574020,1620465269553643521,teuverse_id,https://twitter.com/teuverse_id/status/1620465269553643521,treasuremembers
